id,label,interval,importance,eccentricity,closeness_centrality,harmonic_closeness,betweenness
1.49267759939032E+018,weirddalle,,1,0,0,0,0
1.67594759893336E+018,webhead383,,1,0,0,0,0
1.46216442182495E+018,WatchYalla,,1,0,0,0,0
1.67979029099811E+018,Warrior03005,,1,0,0,0,0
1.6456958807026E+018,Wanheda94353,,1,0,0,0,0
1.57210165016436E+018,Wander1Mystical,,1,0,0,0,0
1.36656562540191E+018,WallStreetSilv,,1,0,0,0,0
37535548,WalidPhares,,1,0,0,0,0
1.26199187937509E+018,voriaghafuri,,1,0,0,0,0
1.65419710950197E+018,voltaireiran,,1,0,0,0,0
47448563,VOAfarsi,,1,0,0,0,0
1.52212004838274E+018,VMehrannia,,1,0,0,0,0
1.11721036159221E+018,VividProwess,,1,0,0,0,0
1.22277330244115E+018,visegrad24,,1,0,0,0,0
2224624381,vinicheh,,1,0,0,0,0
1.42654488821304E+018,Villllainess,,1,0,0,0,0
1.55856717834501E+018,viivienn__,,1,0,0,0,0
1.57341835704233E+018,vidarwarrior,,1,0,0,0,0
1.57401088883466E+018,VictoriousIran,,1,0,0,0,0
1.11851288366146E+018,Victorious_20,,1,0,0,0,0
1.70439733143136E+018,Vicinocipresso,,1,0,0,0,0
1.66947658045899E+018,vianamyyy,,1,0,0,0,0
1.64099052616912E+018,vianack22,,1,0,0,0,0
1.49045312010687E+018,VerminusM,,1,0,0,0,0
7.03814694667198E+017,Verethragnan,,1,0,0,0,0
1.28292121525914E+018,Veresk2020,,1,0,0,0,0
1.04363139836665E+018,venus133333,,1,0,0,0,0
1.31924712561247E+018,vazhe23,,1,0,0,0,0
584376633,VATANDOOST54,,1,0,0,0,0
1.06777038022241E+018,varzeshmedia,,1,0,0,0,0
1.19865950543063E+018,vantweet99,,1,0,0,0,0
1.58105225162328E+018,vanitarmart,,1,0,0,0,0
1.51288738018486E+018,validsource20,,1,0,0,0,0
913063519,vakilroaya,,1,0,0,0,0
1.42599999267482E+018,VakilipourR,,1,0,0,0,0
8.64099594841489E+017,vahshate_shomam,,1,0,0,0,0
7.55076367558074E+017,vahid_y1,,1,0,0,0,0
1.21049170070934E+018,vahid_silent,,1,0,0,0,0
1.48232457238084E+018,vahid_nightmare,,1,0,0,0,0
1.58235105510235E+018,Vahid_Esfa_Shah,,1,0,0,0,0
48113576,Vahid_Beheshti,,1,0,0,0,0
2572902906,vahid__bahman,,1,0,0,0,0
4782551,Vahid,,1,0,0,0,0
9.56250773708591E+017,Vaghefiiman,,1,0,0,0,0
1.68529263470776E+018,UTrooper63351,,1,0,0,0,0
1.67063700706705E+018,Utbde_,,1,0,0,0,0
1.5733565761357E+018,User10ne,,1,0,0,0,0
1.36242577607158E+018,USEnvoyIran,,1,0,0,0,0
9.63777541910577E+017,Usebashi,,1,0,0,0,0
