Id,K-Shell
1.62816838189437E+018,13
1.67597967482708E+018,24
1.6846251722871E+018,23
1.78062345199412E+018,12
181198159,24
1.81949750352122E+018,22
384596003,7
442737538,24
832035949,24
9.35913868387381E+017,2
1.01443228353167E+018,1
1.01445565770838E+018,21
1.21421501685905E+018,23
1.25147570480341E+018,24
1.50749295517467E+018,23
1.53481845050125E+018,14
1.66639938501647E+018,24
1.73730301888917E+018,18
2838307002,19
7.75067343349289E+017,21
1.01456817000122E+018,24
1.23456786195743E+018,7
1555561052,29
1.61760363357866E+018,26
1.64026802037429E+018,29
1.65995160489466E+018,14
1.66073627769883E+018,29
1.66980780854647E+018,11
1.69144841461631E+018,22
1713205369,9
1.79918762356032E+018,7
1.80073881892177E+018,3
1.82228264070927E+018,17
1.83090963618827E+018,21
4704489324,29
579928715,14
7.4939072211413E+017,15
7.51119925268345E+017,9
7.86738726466708E+017,27
8.02400711225049E+017,22
82311780,29
8.44299286653362E+017,8
8.54074626858656E+017,21
8.54286939750449E+017,27
8.55353881718661E+017,29
1.01471029444521E+018,1
8.26028871724175E+017,1
1.01478178204516E+018,15
1.11285314565734E+018,24
1.52382058316687E+018,6
1.7067194117117E+018,10
334161563,24
7.85860478069342E+017,19
8.16793572389384E+017,12
8.78896900937789E+017,15
8.94177293710611E+017,17
9.08580919132459E+017,24
9.47159724717433E+017,12
972611156,13
1.01480895558182E+018,1
1.01547230887254E+018,2
1.57432566342688E+018,12
1.01553081926227E+018,1
1.01562553331141E+018,1
7.61324568480879E+017,12
1.01609106206928E+018,1
1016291030,2
1.01640312292993E+018,9
1.3385505765992E+018,13
1485824444,9
1.573869416219E+018,24
9.59740193136882E+017,11
1.01643313781823E+018,6
1.40765621579921E+018,1
1.58023711359277E+018,2
1.59269993154177E+018,3
1.69099239189579E+018,5
1.75423672782733E+018,6
1.7674053200227E+018,23
7.24650385940558E+017,12
8.22195144816525E+017,2
1.0166278007894E+018,2
1.49423699155012E+018,24
1.70618929767666E+018,2
4776838734,1
7.58692972837962E+017,1
1.01673476052847E+018,1
1.71990779942812E+018,10
1.01710128574356E+018,1
1.76873655519411E+018,15
1.01732735323029E+018,1
1.01846156036747E+018,1
1.49012747524168E+018,3
1.01855502665724E+018,6
1.52540318814854E+018,2
1.64733270932736E+018,24
1.65305663231663E+018,5
1.73945038813729E+018,5
1.01859780149483E+018,1
1.01946616173232E+018,1
3341492770,1
1019505950,1
1.02008149083366E+018,1
2721327449,6
1.02033166916803E+018,1
9.91058905689149E+017,5
1.02101235794915E+018,1
343654568,4
1.02109409208684E+018,2
1.82098562274125E+018,6
8.51006940373299E+017,4
1.02112478904449E+018,1
1.36261185265672E+018,1
1.48797558530542E+018,2
1.77463862080611E+018,1
1.02137035520887E+018,1
1.33245524250456E+018,3
1.02150040501928E+018,16
1.62849814787285E+018,27
1.64063958838855E+018,8
1.82053831425826E+018,27
1946860302,20
1.02166048803439E+018,8
1.42667887485581E+018,21
